,date,评分,comments
0,2024-05-16,5,我玩过最长的漂流，设施挺不错的。唯一的缺点大概是排队太久了吧，如果天气热很晒的话，排队很煎熬。途中有点晒，一定要做好物理防晒，戴帽子啥的。
1,2024-05-03,5,全程刺激，玩的很快乐
2,2024-04-30,5,很好，很值得去
3,2024-04-23,5,不错很好好
4,2023-12-09,5,非常好玩，中途打水仗是孩子们的天下，一路风景一路笑声，携程旅行网提前预约，特别方便，价格优惠，满意，性价比超高，旅游景点也有攻略……
5,2023-11-30,5,一家人加上小舅子一家人出游！ 很不错的一次体验！ 明年再来，把爸爸妈妈也带着一起体检一下！ 很刺激，整个过程差不多2小时！ 带身高低于1米2的小朋友只能玩半程，有点遗憾！
6,2024-04-02,5,夏天去玩一回超爽滴要选择最热的天去比较合适……玩的超级爽啊……
7,2023-12-01,5,皖西是个好地方，霍山大峡谷漂流非常值得，明年还来
8,2024-03-03,5,不错的体验，但水质要提高，居然看到有人养鸭子
9,2023-08-10,5,8月5号去的，11点多到的，不少人，车慢慢也不怎么堵。12点下的水，全程较刺激，弯道很多，水流较大，船也多，但总体有秩序，全程岸边和水里的工作人员很多。大人孩子玩得都很嗨。可能由于人多，有的游客不注意保护环境，水里的饮料瓶和塑料袋不少。这样好山好水的地方，一定要注意保护啦。下午不到三点上来，开车就慢慢堵起来了，幸好我们三辆车都在大堵车之前出来了。第二天去了皖西大裂谷，天太热，要爬山，现在不建议去。在陡沙河温泉小镇住了一夜，很好啊，泡温泉带孩子玩水乐园，周边民宿啊土家菜啊都很多。总之我觉得适合休闲旅游的好地方。
10,2024-04-12,5,还不错，可以去体验下
11,2024-03-22,5,是我玩过最好要的漂流
12,2024-04-07,5,很好，玩的很开心
13,2024-02-20,5,很好，非常满意
14,2024-03-02,5,真的很好玩
15,2022-07-11,5,去之前做足了攻略，看到评论里好多人说会受伤，带了很多磕碰药品，还有洗漱用品换洗衣物以及吹风机（这些一定要带，否则淋浴间啥也没有，人满为患），漂流的时候一定要拉好皮划艇上的拉手，不然在水流急的地方容易甩出去，都是六个人一个船，最好找那种硬汉拼船，否则会被泼的很惨，。玩漂流就是互相泼水才有意思，如果是那种很爱计较别人泼你，玩不起的那种人我劝你最好别去，不然你体会不到玩漂流的乐趣。 我们是从阜阳自驾过去的，十一点到地方，开始排队取票取装备，在中午很热的时候玩水太舒适了，防晒一定要做好，长袖长裤再加上手套帽子和袜子，女生一定要多穿点，因为泡水里几个小时还是挺凉的。不要买水枪，玩两下很容易坏，水瓢是必备的，战斗力很强。有洁癖的人最好也不要去玩，因为水有点臭臭的。 上午玩漂流，下午可以定个在万情峡的民宿，要提前定好，不然订不到，周边吃点当地农家饭，晚上去万情峡可以爬爬小山，大汗淋漓然后去看演出，别有一番风味，有抗日情景剧表演，晚上还有篝火晚会，一定要参与进去，一定要参与进去，一定要参与进去，重要的事情说三遍，否则真的体会不到那种快乐。 这次一天半的旅行，真的很快乐，大家可以去体验
16,2022-06-13,5,【六安】霍山大峡谷漂流 天气：晴（太阳一丢丢大） 日期：2022.6.11 地址：六安霍山 时长：干架的要三个多小时 普通的差不多2个多小时 票价：198一个人包含大巴车票（‼️上山一定要记得去漂流起点的大树下取号‼️）叫号漂流不容易乱 还蛮快的！ 文案：🈚夏天不漂流‼️ 装备建议： 1、姐妹们一定要做好防晒准备！一定要带防晒霜只要是漏出来的地方就使劲涂，男孩子也要涂‼️真的是超级晒(但阴天还会好一点，但天气谁说的准啊！不涂就会晒得黑红‼️）最好还是可以穿长袖 物理防晒我觉得还是最管用的🌝 2、护目镜➕耳塞‼️不然到时候你真的会被泼的看不见听不见🥹我当时就是耳朵进了好多水‼️不知道被谁水枪一直喷射 看不见听不见的🥲 3、一定要买盆（厚一点的），水瓢很容易断 我们带了四个去！一个跟人换了两个小水枪 一个不知道啥时候手柄就断了🥲有个人带了粪瓢🥹真的全场最有用武器‼️
